图标,名称,来源版本,主题,图鉴编号,原始稀有度,原始价值,官方效果,官方描述,解锁条件,游戏稀有度（可编辑）,游戏价值（可编辑）,游戏效果（可编辑）,启用（可编辑）,备注（可编辑）,内部ID,图标URL
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_3.png,铁卫-典训,IS6,岁的界园志异,018,NORMAL,,立即进阶一个【重装】干员（不消耗希望）,划痕是荣耀，但那些碎如齑粉的战士，谁来铭记？,,,,,是,,rogue_5_relic_legacy_3,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_018.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_4.png,残弩-典训,IS6,岁的界园志异,019,NORMAL,,立即进阶一个【狙击】干员（不消耗希望）,“要么，你们控制点火力。要么，你们搞对目标，好吗？”,,,,,是,,rogue_5_relic_legacy_4,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_019.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_5.png,断杖-典训,IS6,岁的界园志异,020,NORMAL,,立即进阶一个【术师】干员（不消耗希望）,“看过某些术师干员的‘表演’后，我选择默默收起那本莱塔尼亚教材。”,,,,,是,,rogue_5_relic_legacy_5,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_020.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_6.png,支柱-典训,IS6,岁的界园志异,021,NORMAL,,立即进阶一个【辅助】干员（不消耗希望）,他们行动的时候总是五花八门的。,,,,,是,,rogue_5_relic_legacy_6,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_021.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_7.png,医者-典训,IS6,岁的界园志异,022,NORMAL,,立即进阶一个【医疗】干员（不消耗希望）,直到所有人都是医生，都能根治名为生活的病灶，直到那一刻我们才不需要医生。,,,,,是,,rogue_5_relic_legacy_7,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_022.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_8.png,锈刃-典训,IS6,岁的界园志异,023,NORMAL,,立即进阶一个【特种】干员（不消耗希望）,在与特种干员们进行实战练习的时候，请做好充足的“没做好准备就被打了”的准备。,,,,,是,,rogue_5_relic_legacy_8,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_023.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_9.png,游戏室管理员权限卡,IS6,岁的界园志异,024,NORMAL,,立即进阶一个干员（不消耗希望）,持有它，您就掌握了罗德岛的娱乐管理大权，请谨慎处理干员们种种奇怪的申请......以及每天关门。,,,,,是,,rogue_5_relic_legacy_9,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_024.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_10.png,Miss.Christine摸摸券,IS6,岁的界园志异,025,RARE,,立即进阶两个干员（不消耗希望）,你已经获得了女士的准许！,,,,,是,,rogue_5_relic_legacy_10,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_025.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_110.png,古旧钱币,IS6,岁的界园志异,031,NORMAL,,立即获得源石锭+10,生锈的古代钱币，已经无法辨认年代，这东西在泰拉荒地上随处可见。,,,,,是,,rogue_5_relic_legacy_110,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_031.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_111.png,无瑕宝玉,IS6,岁的界园志异,032,SUPER_RARE,,立即获得源石锭+25,即便城池三度因其而毁，它也依然光洁无瑕，无可挑剔。持有它的萨尔贡皇帝直至今日都没想好用什么珠宝与之相衬，只有争斗的硝烟永伴。,,,,,是,,rogue_5_relic_legacy_111,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_032.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_120.png,桂花杯,IS6,岁的界园志异,040,NORMAL,,希望+4，立即获得源石锭+5，此收藏品在失与得交换时额外获得1个收藏品,价值连城的瓷杯，背后写有“执此杯者，折桂为居”的字样。听说一共有十二只，某收藏家似乎正好缺这一只。,,,,,是,,rogue_5_relic_legacy_120,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_040.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_122.png,御2,IS6,岁的界园志异,041,NORMAL,,护盾值+3,这是个防御型量产无人机，没道理它只在敌人手里起作用。,在多局游戏中累计损失50目标生命,,,,是,,rogue_5_relic_legacy_122,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_041.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_129.png,立体艺术装置,IS6,岁的界园志异,047,SUPER_RARE,,回复5目标生命值，目标生命上限+2，每次战斗结束后额外回复1目标生命值,莱茵生命有时给人的印象就如同这件艺术品：神秘莫测，层层叠叠，永远探不清虚实。,通过第一层【洪陆楼】,,,,是,,rogue_5_relic_legacy_129,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_047.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_71.png,冰结的躯壳,IS6,岁的界园志异,066,RARE,,近战干员在受到伤害后5秒内，攻击速度+40,驻守在冬牙群山的萨米战士经常被一种幻觉鼓舞：随着生命流向大地，他们原本被冻僵的身体变得越来越轻快。,,,,,是,,rogue_5_relic_legacy_71,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_066.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_74.png,荆棘环,IS6,岁的界园志异,069,SUPER_RARE,,近战干员在受到治疗后，使自身和周围4格内的干员获得1点技力,你得以从扭曲的恐惧中稳定自我。荆棘上残留着血渍，不知道是刺伤了你还是雪祀自己。他们使用任何手段时都不会眨一下眼睛。,,,,,是,,rogue_5_relic_legacy_74,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_069.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_76.png,霜牡的肩甲,IS6,岁的界园志异,070,RARE,,所有我方单位阻挡2名及以上敌人后，攻击力+40%，防御力+40%，持续30秒,他的遗体上见不到伤痕，只有一双眼睛流干了血泪。,携带不小于3名重装干员完成一场战斗,,,,是,,rogue_5_relic_legacy_76,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_070.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_77.png,藤蔓炮手,IS6,岁的界园志异,071,RARE,,敌方空中单位被击败后，对周围其他敌人造成5000点物理伤害,当不同文化的人放下戒备真心交流，出现这样带有奇思妙想的武器也就不足为奇了。,选择【远程战术分队】完成游戏结局,,,,是,,rogue_5_relic_legacy_77,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_071.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_79.png,“奉献”,IS6,岁的界园志异,072,RARE,,远程干员攻击或治疗时，对攻击范围内一名随机敌人造成300点法术伤害,自远古以来，这一部族笃信自己掌握着有关萨米的真相：原本万物各有声音，直到“祂”代替万物言语。,,,,,是,,rogue_5_relic_legacy_79,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_072.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_81.png,皇族金胸针,IS6,岁的界园志异,074,SUPER_RARE,,所有我方单位的法术抗性+15，且部署后抵挡一次伤害,高卢皇族用于彰显身份的装饰品，由黄金打造，镶嵌了大量昂贵的固化源石结晶。实际上这种胸针不单纯是装饰，许多胸针安装了搭载防御性法术的通用源石回路。,,,,,是,,rogue_5_relic_legacy_81,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_074.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_92.png,难闻的止血剂,IS6,岁的界园志异,082,NORMAL,,所有我方单位的生命+20%，【伺烛客】额外+10%,“这种源石虫的体液经过发酵处理之后可以用于止血”——《罗德岛野外生存指南》,,,,,是,,rogue_5_relic_legacy_92,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_082.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_143.png,《麻木与庸俗》,IS6,岁的界园志异,089,NORMAL,,所有我方单位法术抗性+5，法术闪避+10%,一件著名的艺术品，两百年前莱塔尼亚疯狂雕塑家的遗作。这位雕塑家以才华横溢与参与多起残忍的命案而为人所知。但是依据历史记载，他生前并没有多少人关注他的作品，而是因为自己秀美的长相而被人追捧。,,,,,是,,rogue_5_relic_legacy_143,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_089.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_fight_1.png,封神令,IS6,岁的界园志异,096,RARE,,干员部署在侵入点周围8格时，攻击力+100%,博物馆收藏的大狩猎时代的征兵令。此令征集一支有能力深入巨兽巢穴的队伍，附在它后面的是签满了名字的生死状。,,,,,是,,rogue_5_relic_fight_1,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_096.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_fight_3.png,束伥索,IS6,岁的界园志异,097,SUPER_RARE,,【召唤物】的部署费用-5，再部署时间-25%，攻击力+30%,被司岁台收编的伥怪在做活时所戴的标记、约束之索。主动倒水的茶壶、努力浇花的花洒，它们十分擅长简单重复的工作。,,,,,是,,rogue_5_relic_fight_3,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_097.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_fight_5.png,赏善郎,IS6,岁的界园志异,099,NORMAL,,我方单位触发闪避或抵挡后，下次攻击造成的伤害+100%,天师府学徒自主研制的考校辅助器。答对问题时什么也得不到。答错时......还是别尝试了吧。,,,,,是,,rogue_5_relic_fight_5,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_099.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_fight_6.png,镜中境,IS6,岁的界园志异,100,NORMAL,,敌人首次造成的伤害-90%,常悬于界园门窗之上的镜子。当游客遇到突如其来的危机，镜中之境便是他们的紧急避难所——直至镜子碎裂。,,,,,是,,rogue_5_relic_fight_6,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_100.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_fight_7.png,长明灯引,IS6,岁的界园志异,101,RARE,,第一名部署的地面干员攻击力+50%、并获得抵抗、50%元素损伤减免，持续至被击倒或撤离,首次登升之人，为保其心智不被岁识淹没，持燃烛在手。瞢暗迫近，而烛火长明，为其在长夜中锚定意识归来之路。“秉烛”之名亦从中而来。,累计在战斗中部署干员不小于80次的情况下完成游戏结局,,,,是,,rogue_5_relic_fight_7,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_101.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_fight_8.png,“萤灯映牍”,IS6,岁的界园志异,102,NORMAL,,敌方单位被击倒时，使周围的我方单位回复300点生命值,校舍窗边，家乡盆景渐枯，而书生不忍丢弃。终有一日，盆中草不见踪影，而盆上萤火萦绕，替他照亮了书页。,,,,,是,,rogue_5_relic_fight_8,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_102.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_fight_11.png,玩具弹弓,IS6,岁的界园志异,103,RARE,,干员释放技能时对攻击范围内的所有敌人造成相当于攻击力30%的法术伤害,从洪炉中诞生的青铜弹弓，拉开皮筋时，小铜人会蜷成一团沉得惊人的弹丸，以待发射。“喏，拿去玩。危险个锤子，就是个玩具嘛。”,,,,,是,,rogue_5_relic_fight_11,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_103.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_fight_13.png,零嘴背篓,IS6,岁的界园志异,104,NORMAL,,战斗开始时所有干员自然回复技力的速度+100%，任意干员手动释放技能时失效,园林外贩卖的，装满零嘴的背篓，却在入园检查时被扣押。工作人员脸色难看地询问这东西从何而来，你如实回答后，他们一边安慰你没事，一边立刻抄起形状可疑的工具向你说的方向奔去。,,,,,是,,rogue_5_relic_fight_13,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_104.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_fight_16.png,留春,IS6,岁的界园志异,105,NORMAL,,敌人被击倒时，使其周围所有敌人获得6秒的寒冷,何家仙人过，聊赠一枝春。,,,,,是,,rogue_5_relic_fight_16,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_105.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_fight_17.png,墙眼,IS6,岁的界园志异,106,RARE,,我方干员受到来自自身攻击范围以外的物理与法术伤害降低50%,它的意识已然存在。它的步伐困于墙中。它为你遮风挡灾。它注视你的远去。,,,,,是,,rogue_5_relic_fight_17,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_106.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_140.png,荆与叶的织带,IS6,岁的界园志异,111,SUPER_RARE,,每次战斗会从化境地块里随机1个可部署位置，该位置部署干员后，周围8格内的我方单位具有迷彩,于此环中，得受荆棘草叶之偏爱。,,,,,是,,rogue_5_relic_legacy_140,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_111.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_141.png,雪与土的织带,IS6,岁的界园志异,112,NORMAL,,每次战斗会在化境地块里随机1个可部署位置，该位置的我方干员开启攻击回复或受击回复技能时，使化境地块上的所有干员同时回复1点技力,于此环中，得受霜雪大地之青睐。,,,,,是,,rogue_5_relic_legacy_141,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_112.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_142.png,遥乡之引,IS6,岁的界园志异,113,RARE,,每次战斗会在化境地块里随机1个可部署位置，该位置上的我方单位每秒回复1点技力和自身3%的血量,一枚古拙的戒指，实为特制的导航设备，凭借它可以找到阿戈尔曾在海洋各处秘密存储的应急物资。跟随洋流，跟随风，故乡将永远给予你馈赠。,,,,,是,,rogue_5_relic_legacy_142,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_113.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_fight_12.png,“成玦”,IS6,岁的界园志异,114,RARE,,部署在化境地块上干员，首次被击倒时不撤退且回复30%生命,界园主人所赠玉佩。园中偶遇良友，一路同行，欲邀你去他处游玩，婉拒后其人嘴脸骤变，强行拉扯你后却如遭烫般缩手逃开。你松口气，发现腰间玉佩已裂了一块。,,,,,是,,rogue_5_relic_fight_12,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_114.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_fight_14.png,故履,IS6,岁的界园志异,115,RARE,,部署在化境地块上的召唤物，受到的物理法术伤害-50%，攻击力+50%,桥下拾到的旧草鞋。桥上老者等着你将鞋归还，待上桥，却只看到另一只鞋。仔细想来，老者的面容似在某些古画中出现过......,,,,,是,,rogue_5_relic_fight_14,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_115.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_farmer_1.png,易锁,IS6,岁的界园志异,116,RARE,,在化境地块上随机选择2个可部署位置，每次在该位置部署干员时，获得8点部署费用（在失与得中可以升级）,易的发明之一，绩用此牟利颇多。既是摆件，又是益智玩具，若能弄清其中奥秘，或许对“岁”的理解能更多一分。,,,,,是,,rogue_5_relic_farmer_1,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_116.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_farmer_2.png,错易锁,IS6,岁的界园志异,117,SUPER_RARE,,在化境地块上随机选择5个可部署位置，每次在该位置部署干员时，获得10点部署费用,经发明者本人改造后的易锁。结构更复杂，嵌套之法似乎变得不循常理。然而，若是能了悟其中的奥秘，或许对“岁”的理解就能更进一步。,,,,,是,,rogue_5_relic_farmer_2,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_117.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_farmer_3.png,母鼎,IS6,岁的界园志异,118,NORMAL,,使所有部署在化境地块上的干员，攻击力+10%（在常乐中有机会升级，上限10次）,九州万方，自用九鼎以代之。至于这些鼎是怎么铸造的......“当然是母鼎生的啊！”某位电影大师笑着说道。,,,,,是,,rogue_5_relic_farmer_3,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_118.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_farmer_4.png,嫰竹,IS6,岁的界园志异,119,NORMAL,,使所有部署在化境地块上的干员，生命值+10%（在常乐中有机会升级，上限10次）,从黍的宝田中种出的新竹，有果无因，循环往复，每循一遭便多一节，直至长出十节，首尾相连。,,,,,是,,rogue_5_relic_farmer_4,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_119.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_farmer_5.png,《围棋入门布局篇》,IS6,岁的界园志异,120,RARE,,战斗开始后，随机选择3个可部署的地面化境地块，部署“失修舞台雾机”,方圆之间，此着为何？棋枰响止，酣畅淋漓。一局终了......时移世易。,,,,,是,,rogue_5_relic_farmer_5,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_120.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_farmer_6.png,飞锦战旌,IS6,岁的界园志异,121,RARE,,化境地块里的干员释放技能时，给其他所有化境地块里的干员回复1点技力,传说，曾为结束百氏之乱的那位真龙所用，战旗一挥，百将跟随......强大的从来不是旗帜，而是众人遏战乱、平天下之心。,,,,,是,,rogue_5_relic_farmer_6,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_121.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_blockg_1.png,枣面,IS6,岁的界园志异,122,RARE,,所有干员受到来自自身阻挡单位的伤害降低50％，对被自身阻挡的敌人造成的伤害提高50%,一位古代大炎英雄的脸谱。有记载称其忠心不二，为保结义金兰，千里一骑力克千军。,,,,,是,,rogue_5_relic_blockg_1,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_122.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_blockg_2.png,老者面,IS6,岁的界园志异,123,SUPER_RARE,,所有干员每秒对自身阻挡的敌人造成攻击力150%的法术伤害并减低目标15%的命中率,一位上古大炎英雄的脸谱。天师一词的源流，传说其博学多闻，为炎氏谋千载太平后消失无踪。,,,,,是,,rogue_5_relic_blockg_2,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_123.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_blockg_3.png,炭面,IS6,岁的界园志异,124,NORMAL,,敌人首次被阻挡时，恐惧5秒,一位古代大炎英雄的脸谱。有记载称其胆大心细，喝声可断江河。,？？？,,,,是,,rogue_5_relic_blockg_3,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_124.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_blockg_4.png,月女面,IS6,岁的界园志异,125,SUPER_RARE,,干员每阻挡一名敌人，获得10%物理与法术闪避，最多叠加5层,一位传说中的大炎人物的脸谱。其为寻夫泪洒成河飞身逐月的故事流传至今。,,,,,是,,rogue_5_relic_blockg_4,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_125.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_48.png,钝爪-掠食,IS6,岁的界园志异,127,RARE,,场上每有一名先锋干员，每3秒获得1点部署费用（最多叠加8层）,兽群饥肠辘辘，等待饱餐一顿。,,,,,是,,rogue_5_relic_legacy_48,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_127.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_49.png,锈刃-久居,IS6,岁的界园志异,128,RARE,,场上每有一名特种干员，所有敌方单位的移动速度-5%（最多叠加8层）,主人不想见客，客人便到不了门前。,,,,,是,,rogue_5_relic_legacy_49,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%B2%81%E7%9A%84%E7%95%8C%E5%9B%AD%E5%BF%97%E5%BC%82_128.png
